overall size rank,monthly unique devices,mobile unique devices,monthly pageviews,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority mobile editors,monthly new active editors,second month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly structured discussions messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,language name,domain name,wiki name
177,220631.0833,0.4998,412920.5000,0.4742,0.0000,5562.1282,39.6667,7.0000,4.7500,0.2552,2.3333,0.0000,460.3333,0.3225,0.1725,0.5945,0.1104,0.1349,0.8818,18.0000,13218,182643,13.8177,left-to-right,ptwikibooks,wikibooks,pt,Portuguese,pt.wikibooks.org,Portuguese Wikibooks
178,129950.0000,0.5308,554159.2500,0.2514,0.0009,2432.7613,53.4167,11.5833,4.1667,0.1477,2.7500,0.0000,768.5833,0.3249,0.1309,0.2211,0.1471,0.0654,0.8876,0.0000,61084,151980,2.4880,left-to-right,suwiki,wikipedia,su,Sundanese,su.wikipedia.org,Sundanese Wikipedia
179,260385.4167,0.8798,472214.4167,0.8323,0.0000,15941.9643,16.3333,5.6667,1.2500,0.2984,0.9167,0.0000,1371.0833,0.1249,0.0174,0.0022,0.0218,0.0122,0.9476,0.0000,23087,87467,3.7886,right-to-left,fawikisource,wikisource,fa,Persian,fa.wikisource.org,Persian Wikisource
180,185284.2500,0.7087,449363.4167,0.6025,0.0000,5331.9209,34.7500,7.6667,2.7500,0.2551,1.2500,0.0357,363.5000,0.1680,0.1080,0.0225,0.1568,0.1252,0.8708,0.0000,4405,109719,24.9078,left-to-right,trwikiquote,wikiquote,tr,Turkish,tr.wikiquote.org,Turkish Wikiquote
181,273366.9167,0.7787,523026.1667,0.7352,0.0000,14644.6562,18.6667,4.8333,3.2500,0.1788,1.3333,0.0400,316.0833,0.0000,0.1086,0.3520,0.1115,0.1012,0.8723,0.0000,4719,51913,11.0008,left-to-right,idwikibooks,wikibooks,id,Indonesian,id.wikibooks.org,Indonesian Wikibooks
182,96799.5833,0.1890,667802.5833,0.0630,0.0016,1611.0888,60.0833,13.2500,3.3333,0.0800,0.6667,0.1250,2525.5833,0.0189,0.0153,0.0224,0.0285,0.0150,0.9658,0.0000,47459,513906,10.8284,left-to-right,fywiki,wikipedia,fy,Western Frisian,fy.wikipedia.org,Western Frisian Wikipedia
183,81525.5000,0.2091,588107.2500,0.0725,0.0013,1128.3806,72.2500,15.2500,3.4167,0.0979,0.9167,0.0000,1623.3333,0.3512,0.0330,0.0211,0.0588,0.0261,0.9475,0.0000,430989,182761,0.4241,left-to-right,zh_min_nanwiki,wikipedia,zh-min-nan,Chinese (Min Nan),zh-min-nan.wikipedia.org,Min Nan Wikipedia
184,188146.8333,0.6576,359183.0000,0.6184,0.0000,7451.3597,25.2500,6.4167,2.5833,0.1064,2.0000,0.0000,1340.6667,0.7442,0.0212,0.0034,0.0239,0.0177,0.9582,0.0000,51454,191740,3.7264,left-to-right,ukwiktionary,wiktionary,uk,Ukrainian,uk.wiktionary.org,Ukrainian Wiktionary
185,211575.9167,0.8213,419214.6667,0.6725,0.0061,4910.8530,43.0833,5.6667,2.3333,0.2874,1.0000,0.0000,783.0000,0.0667,0.2656,0.0452,0.0556,0.0449,0.9304,0.0000,7657,64951,8.4826,left-to-right,bhwiki,wikipedia,bh,Bhojpuri,bh.wikipedia.org,Bhojpuri Wikipedia
186,213122.1667,0.0867,308033.7500,0.1515,0.0010,9232.7292,23.0833,5.2500,1.7500,0.2335,0.5833,0.0000,338.9167,0.0328,0.1468,0.2252,0.1143,0.0460,0.8830,0.0000,3907,43139,11.0415,left-to-right,lowiki,wikipedia,lo,Lao,lo.wikipedia.org,Lao Wikipedia
187,130319.3333,0.3219,573096.0000,0.1351,0.0048,2196.3933,59.3333,8.1667,1.5833,0.0926,0.2500,0.0000,2781.9167,0.2999,0.0136,0.0390,0.0578,0.0236,0.9731,0.0000,31770,354145,11.1472,left-to-right,barwiki,wikipedia,bar,Bavarian,bar.wikipedia.org,Bavarian Wikipedia
188,122612.2500,0.6166,300757.4167,0.5606,0.0000,3262.4102,37.5833,8.2500,2.1667,0.1799,0.6667,0.0000,1153.4167,0.0004,0.1056,0.0319,0.2775,0.0709,0.9471,0.0000,6395,116604,18.2336,right-to-left,hewikiquote,wikiquote,he,Hebrew,he.wikiquote.org,Hebrew Wikiquote
189,216951.5833,0.8245,899701.1667,0.8535,0.0000,11674.5247,18.5833,4.5833,1.5833,0.1743,0.5000,0.0000,3480.5833,0.0000,0.0097,0.0020,0.0173,0.0097,0.9800,0.0000,302993,1144282,3.7766,left-to-right,hywiktionary,wiktionary,hy,Armenian,hy.wiktionary.org,Armenian Wiktionary
190,86430.6667,0.3842,235421.4167,0.3135,0.0000,1924.2449,44.9167,11.5000,1.5000,0.1064,1.6667,0.0000,1338.1667,0.0196,0.0164,0.0506,0.0327,0.0214,0.9432,16.9167,8048,329752,40.9732,left-to-right,frwikivoyage,wikivoyage,fr,French,fr.wikivoyage.org,French Wikivoyage
191,98864.2500,0.3053,334398.0833,0.1845,0.0032,2353.9107,42.0000,9.9167,3.0833,0.1111,1.3333,0.5000,548.3333,0.0534,0.0483,0.1514,0.0573,0.0462,0.8710,0.0000,42664,128521,3.0124,left-to-right,wuuwiki,wikipedia,wuu,Wu Chinese,wuu.wikipedia.org,Wu Chinese Wikipedia
192,167489.0000,0.3338,369386.1667,0.2696,0.0000,6483.4452,25.8333,5.6667,2.9167,0.0575,0.0833,0.0000,1836.6667,0.0000,0.0069,0.0011,0.0280,0.1193,0.9754,0.0000,6511,214317,32.9161,left-to-right,plwikibooks,wikibooks,pl,Polish,pl.wikibooks.org,Polish Wikibooks
193,133186.0000,0.4194,274455.6667,0.3568,0.0000,5189.0649,25.6667,7.0000,2.5000,0.0461,0.0000,0.0000,536.1667,0.0009,0.0155,0.0053,0.0883,0.0584,0.9169,0.0000,8611,206687,24.0027,left-to-right,nlwikibooks,wikibooks,nl,Dutch,nl.wikibooks.org,Dutch Wikibooks
194,297268.6667,0.6558,603749.2500,0.6191,0.0000,17316.6214,17.1667,3.0833,2.3333,0.2014,0.6667,0.0000,267.2500,0.0889,0.1257,0.0115,0.6280,0.1303,0.9132,0.0000,28214,60153,2.1320,left-to-right,bgwiktionary,wiktionary,bg,Bulgarian,bg.wiktionary.org,Bulgarian Wiktionary
195,280920.8333,0.6744,652800.5833,0.5257,0.0000,15752.5701,17.8333,3.2500,2.0000,0.1406,0.5000,0.0000,1011.6667,0.0000,0.0232,0.0042,0.0354,0.0189,0.9718,0.0000,159893,137833,0.8620,left-to-right,rowiktionary,wiktionary,ro,Romanian,ro.wiktionary.org,Romanian Wiktionary
196,78804.8333,0.4657,303315.3333,0.4708,0.0524,1550.2590,50.8333,11.4167,3.4167,0.3025,1.4167,0.0000,1173.1667,0.1276,0.1210,0.1164,0.0621,0.0516,0.9317,15.0833,15907,163857,10.3009,left-to-right,orwiki,wikipedia,or,Odia,or.wikipedia.org,Oriya Wikipedia
197,73684.9167,0.5376,146336.5833,0.4809,0.0000,1930.6092,38.1667,11.5833,1.6667,0.0636,1.0000,0.0000,850.9167,0.0392,0.0099,0.0029,0.0242,0.0144,0.9001,0.0000,7601,64297,8.4590,left-to-right,ukwikiquote,wikiquote,uk,Ukrainian,uk.wikiquote.org,Ukrainian Wikiquote
198,114455.5000,0.6034,285223.1667,0.5570,0.0000,5031.0110,22.7500,7.3333,2.1667,0.2115,1.0000,0.0000,810.0000,0.1671,0.0374,0.0159,0.0708,0.0211,0.9275,0.0000,33654,153471,4.5603,left-to-right,ptwikisource,wikisource,pt,Portuguese,pt.wikisource.org,Portuguese Wikisource
199,116031.4167,0.7058,244252.9167,0.6092,0.0000,5254.2528,22.0833,7.1667,2.4167,0.2000,0.2500,0.0000,2680.8333,0.0947,0.0153,0.0022,0.0074,0.0175,0.9597,0.0000,15268,92601,6.0650,left-to-right,trwikisource,wikisource,tr,Turkish,tr.wikisource.org,Turkish Wikisource
200,124550.3333,0.9206,375665.5000,0.8872,0.0000,8303.3556,15.0000,6.6667,1.0000,0.1667,0.8333,0.0000,832.0000,0.0295,0.1155,0.0010,0.0139,0.0066,0.8630,0.0000,2395,82214,34.3273,left-to-right,mrwikisource,wikisource,mr,Marathi,mr.wikisource.org,Marathi Wikisource
201,90961.3333,0.4397,284175.0000,0.2941,0.0000,2259.9089,40.2500,9.0000,5.0833,0.1286,1.6667,0.0000,1231.7500,0.0469,0.0326,0.0070,0.0438,0.0388,0.9514,0.0000,6621,303773,45.8802,left-to-right,eswikiquote,wikiquote,es,Spanish,es.wikiquote.org,Spanish Wikiquote
202,47225.0000,0.4374,166168.8333,0.3351,0.0000,1346.0808,35.0833,17.2500,0.7500,0.0333,5.2500,0.0714,730.4167,0.0000,0.0264,0.0033,0.0465,0.0240,0.8229,0.0000,16629,166291,10.0001,left-to-right,slwikisource,wikisource,sl,Slovenian,sl.wikisource.org,Slovenian Wikisource
203,106201.9167,0.7172,215394.7500,0.6498,0.0000,5266.2107,20.1667,7.6667,1.9167,0.2212,0.5000,0.0000,2289.2500,0.0134,0.0301,0.0008,0.0032,0.0295,0.9392,0.0000,6000,112565,18.7608,left-to-right,thwikisource,wikisource,th,Thai,th.wikisource.org,Thai Wikisource
204,86311.0000,0.2887,588407.8333,0.0771,0.0018,1972.8229,43.7500,9.3333,1.2500,0.1068,0.3333,0.0000,1641.1667,0.6195,0.2412,0.0477,0.0370,0.0109,0.9630,0.0000,50266,219798,4.3727,left-to-right,lmowiki,wikipedia,lmo,Lombard,lmo.wikipedia.org,Lombard Wikipedia
205,98548.4167,0.2633,487253.6667,0.0994,0.0032,1689.4014,58.3333,8.0833,2.5000,0.0674,0.5833,0.0000,881.5000,0.0051,0.0308,0.0445,0.0461,0.0209,0.9265,0.0000,83105,347524,4.1817,left-to-right,ndswiki,wikipedia,nds,Low German,nds.wikipedia.org,Low German Wikipedia
206,80398.6667,0.4137,213798.7500,0.3348,0.0000,3062.8063,26.2500,9.8333,1.4167,0.1029,1.5000,0.4194,965.2500,0.1062,0.0292,0.0028,0.0728,0.0283,0.8861,0.0000,20228,164924,8.1533,left-to-right,kowikisource,wikisource,ko,Korean,ko.wikisource.org,Korean Wikisource
207,80711.4167,0.5089,167680.0000,0.4253,0.0000,1813.7397,44.5000,9.5000,3.0833,0.0945,3.8333,0.0000,1016.0833,0.3644,0.0183,0.1458,0.1085,0.0303,0.9175,0.0000,2995,102738,34.3032,left-to-right,eswikivoyage,wikivoyage,es,Spanish,es.wikivoyage.org,Spanish Wikivoyage
208,65205.1667,0.1468,240736.9167,0.1142,0.0056,1365.5532,47.7500,11.5833,1.8333,0.3697,3.0833,0.1250,738.7500,0.0057,0.4966,0.1961,0.2292,0.1477,0.8847,0.0000,15315,202340,13.2119,right-to-left,yiwiki,wikipedia,yi,Yiddish,yi.wikipedia.org,Yiddish Wikipedia
209,142399.0833,0.4174,373594.5833,0.2939,0.0000,4261.3192,33.4167,5.2500,3.8333,0.0548,1.3333,0.0000,185.3333,0.0000,0.0387,0.0054,0.1407,0.0791,0.7846,0.0000,7867,318609,40.4994,left-to-right,dewikiquote,wikiquote,de,German,de.wikiquote.org,German Wikiquote
210,55906.6667,0.1742,355703.2500,0.0733,0.0008,1200.1431,46.5833,13.1667,3.5833,0.1386,2.9167,0.2105,443.2500,0.0310,0.2290,0.2239,0.1376,0.1098,0.8362,0.0000,33520,118622,3.5388,left-to-right,yowiki,wikipedia,yo,Yoruba,yo.wikipedia.org,Yoruba Wikipedia
211,101496.5833,0.7679,994485.8333,0.8529,0.0001,3196.7428,31.7500,7.2500,2.1667,0.1984,1.6667,0.0000,327.3333,0.0020,0.3513,0.1678,0.0558,0.0351,0.8323,0.0000,2706,21069,7.7860,left-to-right,igwiki,wikipedia,ig,Igbo,ig.wikipedia.org,Igbo Wikipedia
212,49511.5833,0.5852,141612.9167,0.5517,0.0000,1078.2922,45.9167,14.7500,2.4167,0.2007,2.0000,0.0909,1853.5000,0.0097,0.5481,0.0543,0.1846,0.0263,0.9368,0.0000,5590,92899,16.6188,left-to-right,zhwikiversity,wikiversity,zh,Chinese,zh.wikiversity.org,Chinese Wikiversity
213,70770.1667,0.3862,180745.2500,0.2787,0.0000,1952.2805,36.2500,10.1667,6.0000,0.2043,0.6667,0.0000,3561.9167,0.1668,0.2201,0.0407,0.0120,0.0269,0.9650,0.0000,24839,147510,5.9386,left-to-right,ptwikinews,wikinews,pt,Portuguese,pt.wikinews.org,Portuguese Wikinews
214,96058.0833,0.2917,262468.5833,0.2006,0.0034,2022.2754,47.5000,7.4167,1.8333,0.2459,0.5833,0.0000,1499.4167,0.1350,0.0304,0.0197,0.0145,0.0739,0.9609,0.0000,64209,237580,3.7001,right-to-left,pnbwiki,wikipedia,pnb,Western Punjabi,pnb.wikipedia.org,Western Punjabi Wikipedia
215,159410.8333,0.9424,337709.4167,0.9127,0.0000,10931.0286,14.5833,4.3333,1.7500,0.4066,0.5000,0.0000,351.5833,0.2351,0.1138,0.0171,0.0837,0.0749,0.9170,0.0000,1093,40055,36.6468,left-to-right,hiwikibooks,wikibooks,hi,Hindi,hi.wikibooks.org,Hindi Wikibooks
216,63263.9167,0.3026,215997.1667,0.1635,0.0028,1594.8887,39.6667,10.3333,2.3333,0.1176,0.6667,0.5000,4502.0833,0.9707,0.0056,0.0390,0.0260,0.0125,0.9805,0.0000,454044,480270,1.0578,left-to-right,cewiki,wikipedia,ce,Chechen,ce.wikipedia.org,Chechen Wikipedia
217,119403.1667,0.8421,221343.2500,0.7786,0.0000,4289.9341,27.8333,5.2500,2.3333,0.2000,1.1667,0.0000,604.2500,0.8888,0.0856,0.0466,0.0383,0.0484,0.9288,0.0000,2719,40334,14.8341,right-to-left,arwikiquote,wikiquote,ar,Arabic,ar.wikiquote.org,Arabic Wikiquote
218,31322.5833,0.7735,198219.9167,0.3977,0.0000,1010.4059,31.0000,19.6667,2.7500,0.0732,1.0000,0.5250,3813.6667,0.0084,0.0121,0.0016,0.0061,0.0087,0.8743,0.0000,5235,386793,73.8860,left-to-right,hiwikisource,wikisource,hi,Hindi,hi.wikisource.org,Hindi Wikisource
219,80036.1667,0.5706,322650.9167,0.4511,0.0069,2153.4395,37.1667,7.4167,4.5000,0.2516,2.5000,0.0455,648.9167,0.0772,0.4558,0.1303,0.6221,0.1262,0.9066,0.0000,6183,45599,7.3749,left-to-right,tkwiki,wikipedia,tk,Turkmen,tk.wikipedia.org,Turkmen Wikipedia
220,54761.1667,0.8023,221028.1667,0.7182,0.0000,3352.7245,16.3333,10.6667,1.2500,0.1143,0.8333,0.0000,3163.8333,0.0404,0.0050,0.0014,0.0064,0.0019,0.8964,0.0000,17132,307806,17.9667,left-to-right,tewikisource,wikisource,te,Telugu,te.wikisource.org,Telugu Wikisource
221,55378.5833,0.5184,319172.4167,0.1816,0.0000,1735.0992,31.9167,10.0833,3.9167,0.0867,0.2500,0.0769,617.5000,0.5259,0.0354,0.0073,0.0170,0.0609,0.8867,0.0000,15485,56941,3.6772,left-to-right,zhwikinews,wikinews,zh,Chinese,zh.wikinews.org,Chinese Wikinews
222,205956.3333,0.7155,504079.9167,0.6829,0.0000,15842.7949,13.0000,2.6667,2.0000,0.0805,0.6667,0.0000,277.1667,0.0009,0.1109,0.0159,0.1494,0.0968,0.8989,0.0000,12355,66730,5.4011,left-to-right,rowikisource,wikisource,ro,Romanian,ro.wikisource.org,Romanian Wikisource
223,78362.0833,0.7354,177553.0000,0.6018,0.0000,2071.2445,37.8333,6.9167,2.1667,0.1641,1.1667,0.0000,504.7500,0.0018,0.2698,0.0106,0.2823,0.0621,0.8815,0.0000,2798,62404,22.3031,left-to-right,zhwikiquote,wikiquote,zh,Chinese,zh.wikiquote.org,Chinese Wikiquote
224,95493.2500,0.5197,183694.5833,0.4024,0.0000,3603.5189,26.5000,5.5833,1.8333,0.1271,0.4167,0.0000,673.7500,0.0053,0.0209,0.0907,0.3367,0.0100,0.9511,0.0000,12377,81651,6.5970,left-to-right,plwikivoyage,wikivoyage,pl,Polish,pl.wikivoyage.org,Polish Wikivoyage
225,83358.0833,0.6993,178254.8333,0.4864,0.0027,2532.3975,32.9167,6.1667,2.0833,0.4000,0.8333,0.1111,511.5000,0.0535,0.3350,0.0749,0.1318,0.1153,0.9058,0.0000,13387,36756,2.7456,right-to-left,mznwiki,wikipedia,mzn,Mazanderani,mzn.wikipedia.org,Mazanderani Wikipedia
226,61328.4167,0.1442,531777.9167,0.0640,0.0006,1463.1034,41.9167,8.2500,2.5000,0.0698,0.7500,0.0000,1142.4167,0.0040,0.0285,0.0328,0.0287,0.0062,0.9592,0.0000,31173,215271,6.9057,left-to-right,iowiki,wikipedia,io,Ido,io.wikipedia.org,Ido Wikipedia
227,48706.3333,0.3649,180787.3333,0.1980,0.0095,854.4971,57.0000,10.3333,2.8333,0.1440,1.2500,0.3333,1235.7500,0.0196,0.1787,0.0494,0.1498,0.0221,0.9179,0.0000,11130,138639,12.4563,left-to-right,zh_classicalwiki,wikipedia,zh-classical,Classical Chinese,zh-classical.wikipedia.org,Classical Chinese Wikipedia
228,108554.1667,0.5747,190325.0833,0.5303,0.0000,7118.3060,15.2500,4.5833,1.1667,0.0870,0.8333,0.6364,407.4167,0.0000,0.0192,0.0342,0.0378,0.0520,0.8928,0.0000,4326,68950,15.9385,left-to-right,ruwikiversity,wikiversity,ru,Russian,ru.wikiversity.org,Russian Wikiversity
229,134417.2500,0.5132,319993.5000,0.4278,0.0000,8024.9104,16.7500,3.6667,0.8333,0.1591,0.5833,0.0000,164.3333,0.0000,0.1156,0.0614,0.2723,0.0837,0.8322,0.0000,4535,96842,21.3544,right-to-left,hewikibooks,wikibooks,he,Hebrew,he.wikibooks.org,Hebrew Wikibooks
230,58356.9167,0.4550,158770.4167,0.2961,0.0000,1902.9429,30.6667,8.4167,3.8333,0.1835,0.7500,0.0000,405.5833,0.0016,0.0598,0.0035,0.0481,0.0125,0.9016,0.0000,8115,104724,12.9050,left-to-right,ptwikiquote,wikiquote,pt,Portuguese,pt.wikiquote.org,Portuguese Wikiquote
231,70845.0000,0.2265,502251.3333,0.0850,0.0016,2053.4783,34.5000,6.9167,2.9167,0.0956,0.1667,0.0000,10474.7500,0.0498,0.0049,0.0077,0.0083,0.0076,0.9907,0.0000,68916,268207,3.8918,left-to-right,vecwiki,wikipedia,vec,Venetian,vec.wikipedia.org,Venetian Wikipedia
232,85128.3333,0.2251,243066.0833,0.1965,0.0000,2168.8747,39.2500,5.7500,3.5000,0.1625,0.4167,0.0545,332.7500,0.5972,0.0341,0.1247,0.0393,0.0265,0.8653,0.0000,23110,162213,7.0192,left-to-right,frwikinews,wikinews,fr,French,fr.wikinews.org,French Wikinews
233,51522.0833,0.4055,176762.8333,0.3263,0.0144,1016.8832,50.6667,9.4167,2.7500,0.3317,1.7500,0.0000,1323.0000,0.0040,0.4689,0.1838,0.0356,0.1007,0.9386,0.0000,13059,116451,8.9173,right-to-left,pswiki,wikipedia,ps,Pashto,ps.wikipedia.org,Pashto Wikipedia
234,60562.8333,0.4293,156391.6667,0.3130,0.0000,3003.1157,20.1667,7.5833,1.5000,0.1346,0.0833,0.0000,1125.9167,0.1170,0.0042,0.0004,0.0076,0.0070,0.9347,0.0000,52807,155687,2.9482,left-to-right,cswikisource,wikisource,cs,Czech,cs.wikisource.org,Czech Wikisource
235,113321.7500,0.5032,349192.3333,0.2998,0.0000,7157.1632,15.8333,4.0000,1.7500,0.0833,0.2500,0.0000,1390.9167,0.0000,0.0062,0.0007,0.0320,0.0205,0.9680,0.0000,151368,243358,1.6077,left-to-right,nowiktionary,wiktionary,no,Norwegian,no.wiktionary.org,Norwegian Bokmål Wiktionary
236,57616.4167,0.3112,188085.0833,0.2104,0.0017,1522.9009,37.8333,7.4167,2.0000,0.1275,1.8333,0.0500,854.9167,0.0348,0.0859,0.1001,0.1462,0.0315,0.9343,0.0000,13615,98135,7.2079,left-to-right,sahwiki,wikipedia,sah,Sakha,sah.wikipedia.org,Sakha Wikipedia
237,31583.2500,0.7346,174547.8333,0.5251,0.0000,919.9005,34.3333,13.5000,0.5000,0.1275,1.9167,0.1200,2468.3333,0.0044,0.0144,0.0012,0.0114,0.0027,0.9336,0.0000,18670,298502,15.9883,left-to-right,sawikisource,wikisource,sa,Sanskrit,sa.wikisource.org,Sanskrit Wikisource
238,35917.9167,0.2874,317541.2500,0.2682,0.0000,1171.2364,30.6667,11.7500,2.7500,0.2434,0.5000,0.0588,4095.0833,0.7364,0.0532,0.0059,0.0258,0.0326,0.9659,0.0000,736359,487823,0.6625,left-to-right,kuwiktionary,wiktionary,ku,Kurdish,ku.wiktionary.org,Kurdish Wiktionary
239,53477.9167,0.1638,222424.6667,0.0790,0.0018,1383.0496,38.6667,7.5000,1.9167,0.0618,0.4167,0.0000,2143.2500,0.2552,0.0047,0.0238,0.0231,0.0092,0.9719,0.0000,47535,173872,3.6578,left-to-right,cvwiki,wikipedia,cv,Chuvash,cv.wikipedia.org,Chuvash Wikipedia
240,53980.1667,0.2630,160458.1667,0.1695,0.0000,1695.7120,31.8333,7.4167,4.0000,0.1357,1.0000,0.0303,636.9167,0.3591,0.0317,0.0161,0.0204,0.0234,0.9059,0.0000,11919,126973,10.6530,left-to-right,eswikinews,wikinews,es,Spanish,es.wikinews.org,Spanish Wikinews
241,42686.7500,0.2557,136865.5833,0.1671,0.0000,1520.0030,28.0833,9.3333,4.0000,0.1875,0.2500,0.0714,637.4167,0.2508,0.0573,0.0388,0.0320,0.0212,0.9118,0.0000,16194,87159,5.3822,left-to-right,plwikinews,wikinews,pl,Polish,pl.wikinews.org,Polish Wikinews
242,73089.0000,0.4485,283558.4167,0.1727,0.0029,2083.2969,35.0833,5.4167,2.5000,0.1157,1.0000,0.0000,404.5000,0.0053,0.1082,0.0305,0.0941,0.0260,0.8711,0.0000,10149,64349,6.3404,left-to-right,hifwiki,wikipedia,hif,Fiji Hindi,hif.wikipedia.org,Fiji Hindi Wikipedia
243,38711.0833,0.5515,147292.2500,0.3006,0.0000,1720.4926,22.5000,10.0833,3.5000,0.2138,0.5000,0.0000,3702.8333,0.0007,0.0150,0.0000,0.0092,0.0061,0.9485,0.0000,23113,259970,11.2478,left-to-right,svwikisource,wikisource,sv,Swedish,sv.wikisource.org,Swedish Wikisource
244,65465.0833,0.6969,139427.1667,0.6385,0.0000,2146.3962,30.5000,5.8333,1.8333,0.2523,0.8333,0.0000,201.6667,0.0094,0.2376,0.0517,0.1446,0.0645,0.7928,0.0000,8833,102873,11.6464,right-to-left,fawikiquote,wikiquote,fa,Persian,fa.wikiquote.org,Persian Wikiquote
245,38762.5833,0.1971,191429.0000,0.0833,0.0022,1115.4700,34.7500,9.8333,3.1667,0.0697,0.8333,0.1250,1176.7500,0.0021,0.0260,0.2520,0.0435,0.0209,0.9472,0.0000,4391,99134,22.5766,left-to-right,mtwiki,wikipedia,mt,Maltese,mt.wikipedia.org,Maltese Wikipedia
246,69091.6667,0.2298,437229.7500,0.0670,0.0014,2745.3642,25.1667,5.5000,2.0833,0.1006,0.1667,0.5000,461.5833,0.0628,0.0522,0.0188,0.0419,0.0226,0.9366,0.0000,13569,162555,11.9799,left-to-right,liwiki,wikipedia,li,Limburgish,li.wikipedia.org,Limburgish Wikipedia
247,44867.5833,0.2970,211045.0833,0.1170,0.0032,1291.1535,34.7500,8.2500,3.1667,0.1651,0.9167,0.1111,2332.5833,0.3854,0.0772,0.0588,0.1002,0.0151,0.9719,0.0000,11415,51252,4.4899,left-to-right,banwiki,wikipedia,ban,Balinese,ban.wikipedia.org,Balinese Wikipedia
248,63820.0000,0.1727,462581.3333,0.0531,0.0016,2502.7451,25.5000,5.7500,2.7500,0.0925,0.2500,0.0000,525.4167,0.0444,0.3458,0.0314,0.0561,0.0270,0.9281,0.0000,23675,152456,6.4395,left-to-right,iawiki,wikipedia,ia,Interlingua,ia.wikipedia.org,Interlingua Wikipedia
249,84078.8333,0.2915,455930.3333,0.1130,0.0018,2655.1211,31.6667,4.3333,3.3333,0.0996,1.0000,0.0000,212.0000,0.0031,0.1199,0.1997,0.2539,0.0857,0.8129,0.0000,26203,171775,6.5555,left-to-right,scnwiki,wikipedia,scn,Sicilian,scn.wikipedia.org,Sicilian Wikipedia
250,74862.2500,0.3488,315941.9167,0.1292,0.0031,3622.3669,20.6667,4.8333,3.0833,0.1367,0.0000,0.0000,626.4167,0.0278,0.0388,0.0818,0.0488,0.0290,0.9474,0.0000,7575,106424,14.0494,left-to-right,nds_nlwiki,wikipedia,nds-nl,Low Saxon,nds-nl.wikipedia.org,Low Saxon Wikipedia
251,34136.4167,0.8160,142105.6667,0.6684,0.0000,1998.2293,17.0833,10.2500,0.5833,0.1311,0.2500,0.5000,2646.6667,0.0057,0.0024,0.0001,0.0015,0.0038,0.8042,0.0000,2419,133067,55.0091,left-to-right,aswikisource,wikisource,as,Assamese,as.wikisource.org,Assamese Wikisource
252,47605.1667,0.2382,210998.2500,0.1006,0.0020,1632.1771,29.1667,7.3333,2.5000,0.1144,0.6667,0.0000,710.3333,0.0873,0.0507,0.0370,0.0544,0.0205,0.9362,0.0000,54780,59154,1.0798,left-to-right,szlwiki,wikipedia,szl,Silesian,szl.wikipedia.org,Silesian Wikipedia
253,61412.5833,0.2506,366056.1667,0.1030,0.0015,1682.5365,36.5000,5.5833,2.4167,0.1414,0.7500,0.0000,1433.1667,0.0013,0.0447,0.0260,0.0246,0.0098,0.9653,0.0000,63679,191498,3.0072,left-to-right,htwiki,wikipedia,ht,Haitian Creole,ht.wikipedia.org,Haitian Creole Wikipedia
254,39870.5833,0.5093,127718.9167,0.3732,0.0000,1155.6691,34.5000,8.5833,2.0000,0.0905,1.3333,0.1667,1011.5000,0.0146,0.0288,0.0156,0.0270,0.0582,0.9332,0.0000,5116,100921,19.7265,left-to-right,zhwikivoyage,wikivoyage,zh,Chinese,zh.wikivoyage.org,Chinese Wikivoyage
255,68665.5833,0.4679,196342.4167,0.2411,0.0017,2607.5538,26.3333,4.9167,2.3333,0.1374,0.5000,0.0000,548.7500,0.0042,0.3973,0.0498,0.0345,0.0080,0.9325,0.0000,4489,21807,4.8579,left-to-right,bjnwiki,wikipedia,bjn,Banjar,bjn.wikipedia.org,Banjar Wikipedia
256,85503.8333,0.4586,183596.7500,0.4016,0.0000,5079.4356,16.8333,3.8333,3.3333,0.3254,0.0833,0.0000,1886.5000,0.0008,0.0031,0.0002,0.0061,0.0080,0.9785,0.0000,33776,299248,8.8598,left-to-right,huwikibooks,wikibooks,hu,Hungarian,hu.wikibooks.org,Hungarian Wikibooks
257,106142.8333,0.8569,185028.3333,0.7939,0.0000,4861.5038,21.8333,3.0833,1.0833,0.3121,0.5833,0.0000,365.5000,0.0032,0.1434,0.0157,0.0483,0.0809,0.8909,0.0000,3137,62601,19.9557,right-to-left,fawikibooks,wikibooks,fa,Persian,fa.wikibooks.org,Persian Wikibooks
258,75463.5833,0.2122,523085.5000,0.0938,0.0009,2310.1097,32.6667,4.3333,2.1667,0.1260,0.5833,0.0000,1956.5000,0.4549,0.0148,0.3859,0.0440,0.0136,0.9745,0.0000,94552,106712,1.1286,left-to-right,mgwiki,wikipedia,mg,Malagasy,mg.wikipedia.org,Malagasy Wikipedia
259,99029.6667,0.8154,251290.0833,0.7881,0.0000,9583.5161,10.3333,3.2500,1.6667,0.2195,0.2500,0.0000,457.9167,0.0016,0.1510,0.0044,0.1942,0.0661,0.9291,0.0000,31367,78556,2.5044,left-to-right,srwikisource,wikisource,sr,Serbian,sr.wikisource.org,Serbian Wikisource
